"Season","Name","playerid","Month","Team","IP","TBF","H","2B","3B","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","ERA","w OBA","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG1","WHIP","BABIP","LOB%","x FIP","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2010","Chris Sale","10603","Aug","CHW","9.0","36","5","1","0","1","1","0","5","0","0","14","0.1613","0.285714285","0.200000000","1.0000","0.238761307512011","14.0000","5.0000","2.8000","0.0000","0.3889","0.1389","0.2500","0.1613","1.1111","0.2941","0.9000","2.3124024697476","1.63423578518701","1.800000000","0.125000000","0.562500000","0.312500000","0.000000000","0.000000000","0.111111111","0.000000000","0.1765","0.4118","0.4118","0.1765","0.5294","0.2941"
"2010","Chris Sale","10603","Sept/Oct","CHW","14.1","56","10","0","0","4","4","2","5","0","0","18","0.1961","0.267857142","0.313725490","2.5116","0.264474573944296","11.3024","3.1395","3.6000","1.2558","0.3214","0.0893","0.2321","0.1961","1.0465","0.2581","0.9016","2.7207096591939","3.42751824918701","1.230769230","0.121212121","0.484848484","0.393939393","0.076923076","0.153846153","0.062500000","0.000000000","0.3333","0.2727","0.3939","0.3030","0.4545","0.2424"
"2011","Chris Sale","10603","Mar/Apr","CHW","10.2","50","13","5","0","7","7","2","4","0","0","12","0.2826","0.346938775","0.533333333","5.9062","0.380391359329224","10.1250","3.3750","3.0000","1.6875","0.2400","0.0800","0.1600","0.2826","1.5937","0.3438","0.7042","3.31367876237535","4.33788576006055","1.416666666","0.121212121","0.515151515","0.363636363","0.000000000","0.166666666","0.117647058","0.000000000","0.4412","0.4118","0.1471","0.2059","0.5294","0.2647"
"2011","Chris Sale","10603","May","CHW","9.2","46","9","3","0","5","5","1","7","0","1","11","0.2368","0.369565217","0.394736842","4.6552","0.346370593361233","10.2413","6.5172","1.5714","0.9310","0.2391","0.1522","0.0870","0.2368","1.6552","0.3077","0.7692","4.0120291088039","4.57710864906055","1.833333333","0.320000000","0.440000000","0.240000000","0.000000000","0.166666666","0.090909090","0.000000000","0.2963","0.4444","0.2593","0.2963","0.4074","0.2963"
"2011","Chris Sale","10603","Jun","CHW","13.2","53","11","2","0","2","2","0","4","0","0","11","0.2245","0.288461538","0.270833333","1.3171","0.256342997917762","7.2439","2.6341","2.7500","0.0000","0.2075","0.0755","0.1321","0.2245","1.0976","0.2895","0.8667","3.02905283912587","2.29368433006055","2.000000000","0.314285714","0.457142857","0.228571428","0.000000000","0.000000000","0.125000000","0.333333333","0.2895","0.4737","0.2368","0.2368","0.6053","0.1579"
"2011","Chris Sale","10603","Jul","CHW","14.0","52","7","0","0","2","2","1","3","2","1","16","0.1458","0.211538461","0.208333333","1.2857","0.176964840888977","10.2857","1.9286","5.3333","0.6429","0.3077","0.0577","0.2500","0.1458","0.7143","0.1935","0.9375","2.67361066298825","2.52538986206055","1.250000000","0.100000000","0.500000000","0.400000000","0.166666666","0.083333333","0.000000000","0.500000000","0.4688","0.3438","0.1875","0.5000","0.3125","0.1875"
"2011","Chris Sale","10603","Aug","CHW","12.2","47","5","2","0","1","1","1","3","0","0","14","0.1136","0.170212765","0.227272727","0.7105","0.180613796761695","9.9473","2.1316","4.6667","0.7105","0.2979","0.0638","0.2340","0.1136","0.6316","0.1379","1.0000","2.41799554544619","2.55170689906055","2.111111111","0.066666666","0.633333333","0.300000000","0.000000000","0.111111111","0.052631578","0.000000000","0.5000","0.4000","0.1000","0.3667","0.4333","0.2000"
"2011","Chris Sale","10603","Sept/Oct","CHW","10.1","40","7","2","0","5","5","1","6","1","0","15","0.2059","0.333333333","0.363636363","4.3549","0.30679798753638","13.0646","5.2258","2.5000","0.8710","0.3750","0.1500","0.2250","0.2059","1.2581","0.3333","0.6897","2.83668546062621","3.12216436706055","0.875000000","0.166666666","0.388888888","0.444444444","0.000000000","0.125000000","0.000000000","0.000000000","0.5263","0.3684","0.1053","0.2632","0.5263","0.2105"
"2012","Chris Sale","10603","Mar/Apr","CHW","26.0","104","21","8","0","9","9","2","7","0","1","26","0.2188","0.278846153","0.364583333","3.1154","0.283150193782953","9.0000","2.4231","3.7143","0.6923","0.2500","0.0673","0.1827","0.2188","1.0769","0.2794","0.7634","3.3730409516738","3.01773692003272","1.291666666","0.214285714","0.442857142","0.342857142","0.083333333","0.083333333","0.000000000","0.000000000","0.4000","0.2857","0.3143","0.1571","0.6286","0.2143"
"2012","Chris Sale","10603","May","CHW","31.2","125","21","4","0","7","6","1","9","0","0","35","0.1810","0.240000000","0.241379310","1.7053","0.219504539489746","9.9474","2.5579","3.8889","0.2842","0.2800","0.0720","0.2080","0.1810","0.9474","0.2500","0.8042","2.89590707520251","2.14729257303271","1.600000000","0.177215189","0.506329113","0.316455696","0.160000000","0.040000000","0.075000000","0.000000000","0.3827","0.3086","0.3086","0.2222","0.5679","0.2099"
"2012","Chris Sale","10603","Jun","CHW","37.2","142","26","6","1","9","9","2","8","0","1","33","0.1955","0.248226950","0.305343511","2.1504","0.244811987200527","7.8849","1.9115","4.1250","0.4779","0.2324","0.0563","0.1761","0.1955","0.9027","0.2449","0.8075","3.57948068316049","2.74952755903271","0.974358974","0.197916666","0.395833333","0.406250000","0.128205128","0.051282051","0.052631578","0.000000000","0.4000","0.2900","0.3100","0.1100","0.6000","0.2900"
"2012","Chris Sale","10603","Jul","CHW","28.2","116","28","4","0","12","12","2","7","1","2","20","0.2617","0.318965517","0.358490566","3.7674","0.297124261441438","6.2791","2.1977","2.8571","0.6279","0.1724","0.0603","0.1121","0.2617","1.2209","0.3059","0.7310","3.61431083377403","3.54814784003272","2.157894736","0.302325581","0.476744186","0.220930232","0.105263157","0.105263157","0.097560975","0.000000000","0.4023","0.3448","0.2529","0.1149","0.6552","0.2299"
"2012","Chris Sale","10603","Aug","CHW","33.0","134","32","7","0","13","13","8","8","3","0","41","0.2540","0.298507462","0.500000000","3.5455","0.333882632146355","11.1818","2.1818","5.1250","2.1818","0.3060","0.0597","0.2463","0.2540","1.2121","0.3117","0.9375","2.76083796963547","4.48859938903272","1.000000000","0.228915662","0.385542168","0.385542168","0.156250000","0.250000000","0.062500000","0.500000000","0.4824","0.2824","0.2353","0.1647","0.5294","0.3059"
"2012","Chris Sale","10603","Sept/Oct","CHW","35.0","151","39","8","0","16","16","4","12","1","2","37","0.2847","0.350993377","0.433823529","4.1143","0.341230445702871","9.5143","3.0857","3.0833","1.0286","0.2450","0.0795","0.1656","0.2847","1.4571","0.3646","0.7806","3.2291214498026","3.66608856703272","1.920000000","0.255102040","0.489795918","0.255102040","0.080000000","0.160000000","0.083333333","0.500000000","0.4500","0.3400","0.2100","0.0900","0.6100","0.3000"
"2013","Chris Sale","10603","Mar/Apr","CHW","33.0","135","28","5","0","16","15","5","10","0","3","30","0.2295","0.303703703","0.393442622","4.0909","0.310447164818093","8.1818","2.7273","3.0000","1.3636","0.2222","0.0741","0.1481","0.2295","1.1515","0.2644","0.7353","3.86046839162256","4.38118341730481","1.171428571","0.164835164","0.450549450","0.384615384","0.057142857","0.142857142","0.024390243","0.000000000","0.4891","0.3478","0.1630","0.2826","0.4239","0.2935"
