Version,Game,Day of Week,Date,P1,P2,P1 Outcome,P2 Outcome,P1 Win,OT,SO,P1 Previous Game,P1 Home,P1 Team,P2 Team,Scored 1st,P1 Shots,P2 Shots,P1 Hits,P2 Hits,P1 ToA,P2 ToA,P1 Passing,P2 Passing,P1 PM,P2 PM,P1 Powerplays,P2 Powerplays,P1 Faceoffs,P2 Faceoffs,P1 Breakaways,P2 Breakaways,P1 Penalty Shots,P2 Penalty Shots,P1 Offensive Faceoffs,P2 Offensive Faceoffs
12,1,2,2010-11-11,1,7,L,W,No,No,No,,A,Montreal,Tampa Bay,P2,61,45,19,16,3.92,6.5,0.44,0.54,22,24,7,6,33,12,3,1,0,0,15,3
12,2,4,10-13-11,3,5,L,W,No,No,No,No,A,Montreal,Tampa Bay,P2,41,47,16,18,2.9,5.57,0.46,0.54,25,23,4,5,18,19,0,6,0,0,2,3
12,3,0,10-16-11,3,5,L,W,No,No,No,No,A,Montreal,Tampa Bay,P2,59,46,7,25,3.48,5.75,0.55,0.54,14,16,3,2,22,17,3,2,0,2,7,2
12,4,2,10-18-11,3,8,L,W,No,No,No,No,A,Montreal,Tampa Bay,P2,52,52,19,30,4.45,5.82,0.5,0.55,18,16,3,4,22,17,1,0,0,1,1,5
12,5,3,10-19-11,2,9,L,W,No,No,No,No,A,Philadelphia,Tampa Bay,P2,50,53,9,17,4.08,5.37,0.56,0.55,21,19,2,3,16,18,1,2,1,0,4,5
12,6,4,10-20-11,4,3,W,OL,Yes,Yes,No,No,A,Montreal,Tampa Bay,P2,53,48,18,17,3.72,5.62,0.58,0.56,25,17,1,5,11,18,4,1,0,0,3,4
12,7,0,10-23-11,5,8,L,W,No,No,No,Yes,H,Montreal,Tampa Bay,P2,64,46,16,21,5.13,4.93,0.6,0.62,15,13,4,5,20,19,5,2,0,0,5,3
12,8,1,10-24-11,4,2,W,L,Yes,No,No,No,A,Montreal,Tampa Bay,P1,63,49,18,14,3.93,5.25,0.6,0.54,6,0,0,3,10,15,3,2,1,0,2,6
12,9,2,10-25-11,4,0,W,L,Yes,No,No,Yes,H,Montreal,Tampa Bay,P1,62,34,15,30,5.1,5.58,0.67,0.5,2,8,4,1,13,10,0,1,0,0,6,4
12,10,4,10-27-11,3,2,W,OL,Yes,Yes,No,Yes,H,Montreal,Tampa Bay,P2,55,52,20,20,4.13,6.03,0.48,0.58,19,9,2,7,20,20,6,0,0,0,4,7
12,11,0,10-30-11,4,2,W,L,Yes,No,No,Yes,H,Montreal,Tampa Bay,P2,50,54,14,17,4.05,6.08,0.62,0.64,16,12,1,3,16,15,4,0,0,0,6,5
12,12,2,2011-01-11,4,5,L,W,No,No,No,Yes,H,Montreal,Tampa Bay,P1,41,54,14,24,3.28,6.08,0.51,0.64,7,7,1,1,15,14,2,0,0,0,4,5
12,13,4,2011-03-11,2,5,L,W,No,No,No,No,A,Montreal,Tampa Bay,P2,47,43,18,26,4.07,5.27,0.57,0.54,11,9,2,3,15,18,5,1,0,0,5,4
12,14,2,2011-08-11,5,6,L,W,No,No,No,No,A,Montreal,Tampa Bay,P1,42,44,7,23,4.88,6.17,0.52,0.52,4,8,4,2,12,17,4,2,0,0,2,4
12,15,4,2011-10-11,1,3,L,W,No,No,No,No,A,Montreal,Tampa Bay,P2,38,49,19,32,4.52,5.07,0.59,0.59,25,21,3,5,13,16,0,1,0,0,3,5
12,16,0,11-13-11,3,8,L,W,No,No,No,No,A,Montreal,Tampa Bay,P2,50,49,9,24,4.85,5.55,0.65,0.57,2,8,4,1,15,12,1,0,0,0,5,3
12,17,2,11-15-11,2,1,W,L,Yes,No,No,No,A,Montreal,Tampa Bay,P1,49,57,16,24,3.85,5.93,0.57,0.58,29,21,3,7,20,14,1,2,0,0,9,2
12,18,4,11-17-11,0,2,L,W,No,No,No,Yes,H,Montreal,Tampa Bay,P2,36,37,15,28,5.02,5.63,0.59,0.58,4,4,2,2,21,10,3,2,0,1,8,5
12,19,0,11-20-11,5,6,OL,W,No,Yes,No,No,A,Montreal,Tampa Bay,P1,62,48,18,25,4.75,5.48,0.59,0.59,4,4,2,2,20,12,2,0,0,0,3,4
12,20,2,11-22-11,7,4,W,L,Yes,No,No,No,A,Montreal,Tampa Bay,P1,49,38,16,30,4.47,5.93,0.57,0.59,12,12,1,1,20,12,4,1,0,0,6,1
12,21,4,11-24-11,2,6,L,W,No,No,No,Yes,H,Montreal,Tampa Bay,P2,54,53,12,24,4.38,5.6,0.61,0.58,13,11,3,4,15,21,3,1,0,0,4,4
12,22,0,11-27-11,5,4,W,L,Yes,No,No,No,A,Montreal,Tampa Bay,P1,50,43,13,47,5.02,4.98,0.59,0.59,4,8,4,2,12,19,3,0,0,0,3,3
12,23,2,11-29-11,3,5,L,W,No,No,No,Yes,H,Montreal,Tampa Bay,P1,55,34,13,25,2.93,5.05,0.6,0.61,2,4,2,1,19,8,2,1,0,0,6,2
12,24,4,2012-01-11,2,3,SL,W,No,No,Yes,No,A,Montreal,Tampa Bay,P1,62,43,11,31,5.02,5.57,0.56,0.52,6,17,3,1,14,13,5,3,0,0,3,5
